review_id,caterer_id,caterer_name,cuisine_type,performance_tier,review_date,star_rating,review_text,word_count
117,2,Spice Route Catering,Indian,gold,2023-01-02,4,Showed up early and had everything ready before our guests arrived. The quality of the ingredients was outstanding.,18
300,4,Bella Cucina Events,Italian,platinum,2023-01-02,5,Our team raved about the food all afternoon. Portions were generous and well-presented. We will definitely be ordering again.,19
1141,14,Garden State Greens,Vegetarian,silver,2023-01-02,4,Best catering we have had in the office. The quality of the ingredients was outstanding.,15
841,11,Saffron House,Middle Eastern,gold,2023-01-03,5,"Our team raved about the food all afternoon. Each item was packaged individually, which our team appreciated. We have used them three times and they get better every time.",29
131,2,Spice Route Catering,Indian,gold,2023-01-04,4,Hot food arrived hot — impressive logistics. The quality of the ingredients was outstanding.,14
529,7,The Grain Bowl,American,silver,2023-01-05,4,The delivery team handled a difficult parking situation gracefully. The delivery team handled a difficult parking situation gracefully.,18
244,3,Harbor Fresh Kitchen,American,silver,2023-01-05,5,Hot food arrived hot — impressive logistics. Incredibly fresh — you could taste the quality. Highly recommend to other offices in the area.,23
828,11,Saffron House,Middle Eastern,gold,2023-01-05,5,Hot food arrived hot — impressive logistics. Incredibly fresh — you could taste the quality. Worth every penny for a team of 50.,23
587,7,The Grain Bowl,American,silver,2023-01-05,4,Hot food arrived hot — impressive logistics. Packaging was neat and easy to serve.,14
371,5,Green Garden Catering,Vegetarian,gold,2023-01-06,5,"The food exceeded our expectations. Everything was labeled clearly, including allergen info. Our go-to caterer for all company events.",19
426,5,Green Garden Catering,Vegetarian,gold,2023-01-07,5,Our team raved about the food all afternoon. On-time delivery made our event stress-free. Great value for the price.,19
773,10,New England Deli,American,needs_improvement,2023-01-08,4,Showed up early and had everything ready before our guests arrived. The delivery team handled a difficult parking situation gracefully.,20
1017,13,The Smokehouse BBQ,BBQ,silver,2023-01-08,4,Delivery was prompt and professional. The food exceeded our expectations.,10
1179,15,Federal Street Fare,American,needs_improvement,2023-01-08,4,"Everything tasted fresh and flavorful. Each item was packaged individually, which our team appreciated.",14
440,6,Taqueria Del Sol,Mexican,gold,2023-01-10,4,Everything tasted fresh and flavorful. The food exceeded our expectations.,10
808,10,New England Deli,American,needs_improvement,2023-01-10,4,"Arrived right on time, which is rare. Eco-friendly containers were a nice touch.",13
1165,15,Federal Street Fare,American,needs_improvement,2023-01-11,4,Everything tasted fresh and flavorful. The quality of the ingredients was outstanding.,12
575,7,The Grain Bowl,American,silver,2023-01-13,5,Delivery was prompt and professional. Incredibly fresh — you could taste the quality. Already booked our next order.,18
314,4,Bella Cucina Events,Italian,platinum,2023-01-13,5,The quality of the ingredients was outstanding. Showed up early and had everything ready before our guests arrived. Affordable and filling — will order again.,25
138,2,Spice Route Catering,Indian,gold,2023-01-13,4,"Arrived right on time, which is rare. On-time delivery made our event stress-free.",13
1139,14,Garden State Greens,Vegetarian,silver,2023-01-14,4,The delivery team handled a difficult parking situation gracefully. The food was absolutely delicious.,14
796,10,New England Deli,American,needs_improvement,2023-01-14,4,"Best catering we have had in the office. Everything was labeled clearly, including allergen info.",15
386,5,Green Garden Catering,Vegetarian,gold,2023-01-14,5,The food exceeded our expectations. Showed up early and had everything ready before our guests arrived. Already booked our next order.,21
750,9,Seoul Kitchen Catering,Korean,gold,2023-01-15,5,Best catering we have had in the office. Portions were generous and well-presented. Highly recommend to other offices in the area.,21
264,4,Bella Cucina Events,Italian,platinum,2023-01-16,5,A perfect variety of options for all dietary needs. Portions were generous and well-presented. Our go-to caterer for all company events.,21
818,10,New England Deli,American,needs_improvement,2023-01-16,4,"The food exceeded our expectations. Each item was packaged individually, which our team appreciated.",14
1171,15,Federal Street Fare,American,needs_improvement,2023-01-16,4,Hot food arrived hot — impressive logistics. Portions were generous and well-presented.,12
142,2,Spice Route Catering,Indian,gold,2023-01-18,4,Showed up early and had everything ready before our guests arrived. The quality of the ingredients was outstanding.,18
103,2,Spice Route Catering,Indian,gold,2023-01-19,5,"Arrived right on time, which is rare. The food was absolutely delicious. Great value for the price.",17
799,10,New England Deli,American,needs_improvement,2023-01-20,4,Our team raved about the food all afternoon. Portions were generous and well-presented.,13
839,11,Saffron House,Middle Eastern,gold,2023-01-21,5,Best catering we have had in the office. The quality of the ingredients was outstanding. Competitive pricing without sacrificing quality.,20
822,10,New England Deli,American,needs_improvement,2023-01-22,4,On-time delivery made our event stress-free. Showed up early and had everything ready before our guests arrived.,17
414,5,Green Garden Catering,Vegetarian,gold,2023-01-22,5,Best catering we have had in the office. Our team raved about the food all afternoon. We have used them three times and they get better every time.,28
