caterer_name,review_month,review_count,avg_vader,avg_star,pct_negative,vader_3mo_avg
Bella Cucina Events,2023-01,6,0.6779666666666667,4.833333333333333,0.0,0.678
Bella Cucina Events,2023-02,6,0.70715,5.0,0.0,0.6926
Bella Cucina Events,2023-03,5,0.70504,4.8,0.0,0.6967
Bella Cucina Events,2023-04,5,0.74212,4.8,0.0,0.7181
Bella Cucina Events,2023-05,4,0.747125,5.0,0.0,0.7314
Bella Cucina Events,2023-06,5,0.61184,5.0,0.0,0.7004
Bella Cucina Events,2023-07,6,0.7677666666666667,5.0,0.0,0.7089
Bella Cucina Events,2023-08,2,0.7068,5.0,0.0,0.6955
Bella Cucina Events,2023-09,2,0.6355999999999999,5.0,0.0,0.7034
Bella Cucina Events,2023-10,2,0.8398,5.0,0.0,0.7274
Bella Cucina Events,2023-11,4,0.6787,5.0,0.0,0.718
Bella Cucina Events,2023-12,5,0.5675600000000001,4.8,0.0,0.6954
Bella Cucina Events,2024-01,4,0.768775,5.0,0.0,0.6717
Bella Cucina Events,2024-02,5,0.45730000000000004,5.0,0.0,0.5979
Bella Cucina Events,2024-03,2,0.503,5.0,0.0,0.5764
Bella Cucina Events,2024-04,1,0.7184,5.0,0.0,0.5596
Bella Cucina Events,2024-05,3,0.6366,4.666666666666667,0.0,0.6193
Bella Cucina Events,2024-06,5,0.73386,4.8,0.0,0.6963
Bella Cucina Events,2024-07,1,0.8481,5.0,0.0,0.7395
Bella Cucina Events,2024-08,6,0.7728333333333334,5.0,0.0,0.7849
Bella Cucina Events,2024-09,7,0.8117714285714286,5.0,0.0,0.8109
Bella Cucina Events,2024-10,4,0.769425,5.0,0.0,0.7847
Bella Cucina Events,2024-11,2,0.88455,5.0,0.0,0.8219
Bella Cucina Events,2024-12,3,0.5471333333333334,4.666666666666667,0.0,0.7337
Boston Box Lunch Co.,2023-01,1,0.6697,5.0,0.0,0.6697
Boston Box Lunch Co.,2023-02,5,0.76012,5.0,0.0,0.7149
Boston Box Lunch Co.,2023-03,4,0.76525,4.75,0.0,0.7317
Boston Box Lunch Co.,2023-04,4,0.6152249999999999,5.0,0.0,0.7135
Boston Box Lunch Co.,2023-05,3,0.7979666666666666,5.0,0.0,0.7261
Boston Box Lunch Co.,2023-06,6,0.6383833333333333,4.833333333333333,0.0,0.6839
Boston Box Lunch Co.,2023-07,3,0.7217666666666668,4.666666666666667,0.0,0.7194
Boston Box Lunch Co.,2023-08,7,0.6037428571428572,4.857142857142857,0.0,0.6546
Boston Box Lunch Co.,2023-09,3,0.46163333333333334,4.666666666666667,0.0,0.5957
Boston Box Lunch Co.,2023-10,4,0.754225,4.75,0.0,0.6065
Boston Box Lunch Co.,2023-11,4,0.657275,4.75,0.0,0.6244
Boston Box Lunch Co.,2023-12,4,0.56075,5.0,0.0,0.6574
Boston Box Lunch Co.,2024-02,2,0.60655,5.0,0.0,0.6082
Boston Box Lunch Co.,2024-03,1,0.872,5.0,0.0,0.6798
Boston Box Lunch Co.,2024-04,4,0.726575,5.0,0.0,0.735
Boston Box Lunch Co.,2024-05,7,0.5993,4.857142857142857,0.0,0.7326
Boston Box Lunch Co.,2024-06,8,0.5043875,4.625,0.0,0.6101
Boston Box Lunch Co.,2024-07,7,0.7427142857142857,5.0,0.0,0.6155
