caterer_id,caterer_name,performance_tier,total_reviews,avg_star_rating,avg_vader_score,pct_positive,pct_neutral,pct_negative,avg_subjectivity,net_sentiment_score
4,Bella Cucina Events,platinum,95,4.93,0.7,97.89,2.11,0.0,0.58,97.9
8,Mediterranean Table,platinum,91,4.74,0.67,97.8,2.2,0.0,0.6,97.8
5,Green Garden Catering,gold,88,4.7,0.65,97.73,2.27,0.0,0.62,97.7
11,Saffron House,gold,88,4.65,0.68,97.73,2.27,0.0,0.63,97.7
9,Seoul Kitchen Catering,gold,84,4.54,0.66,97.62,2.38,0.0,0.6,97.6
10,New England Deli,needs_improvement,63,4.0,0.59,96.83,3.17,0.0,0.64,96.8
2,Spice Route Catering,gold,84,4.5,0.65,96.43,3.57,0.0,0.67,96.4
6,Taqueria Del Sol,gold,80,4.3,0.65,96.25,3.75,0.0,0.66,96.2
12,Pacific Rim Catering,silver,77,4.16,0.57,96.1,3.9,0.0,0.65,96.1
3,Harbor Fresh Kitchen,silver,77,4.19,0.61,94.81,5.19,0.0,0.66,94.8
1,Boston Box Lunch Co.,platinum,91,4.87,0.66,94.51,5.49,0.0,0.58,94.5
14,Garden State Greens,silver,80,4.32,0.62,93.75,6.25,0.0,0.64,93.8
7,The Grain Bowl,silver,73,4.04,0.59,91.78,8.22,0.0,0.62,91.8
13,The Smokehouse BBQ,silver,70,4.0,0.59,90.0,10.0,0.0,0.61,90.0
15,Federal Street Fare,needs_improvement,59,3.93,0.52,84.75,10.17,5.08,0.67,79.7
