review_id,caterer_id,caterer_name,cuisine_type,performance_tier,review_date,star_rating,vader_compound,vader_label,tb_polarity,tb_subjectivity,topic_label,topic_probability,word_count
117,2,Spice Route Catering,Indian,gold,2023-01-02,4,0.7579,positive,0.2667,0.5583,Food Quality & Taste,0.9555,18
300,4,Bella Cucina Events,Italian,platinum,2023-01-02,5,0.7184,positive,0.0,0.5,Packaging & Presentation,0.9461,19
1141,14,Garden State Greens,Vegetarian,silver,2023-01-02,4,0.8481,positive,0.75,0.5875,Food Quality & Taste,0.8998,15
841,11,Saffron House,Middle Eastern,gold,2023-01-03,5,0.7351,positive,0.2333,0.3333,Customer Service,0.9665,29
131,2,Spice Route Catering,Indian,gold,2023-01-04,4,0.8074,positive,0.5,0.8938,Value & Pricing,0.6249,14
529,7,The Grain Bowl,American,silver,2023-01-05,4,0.4215,positive,-0.5,1.0,Value & Pricing,0.96,18
244,3,Harbor Fresh Kitchen,American,silver,2023-01-05,5,0.8265,positive,0.3058,0.6858,Food Quality & Taste,0.6017,23
828,11,Saffron House,Middle Eastern,gold,2023-01-05,5,0.7778,positive,0.42,0.66,Value & Pricing,0.6675,23
587,7,The Grain Bowl,American,silver,2023-01-05,4,0.8481,positive,0.4833,0.8833,Value & Pricing,0.5666,14
371,5,Green Garden Catering,Vegetarian,gold,2023-01-06,5,0.4019,positive,0.1,0.3833,Packaging & Presentation,0.9552,19
426,5,Green Garden Catering,Vegetarian,gold,2023-01-07,5,0.7579,positive,0.8,0.75,Packaging & Presentation,0.9598,19
773,10,New England Deli,American,needs_improvement,2023-01-08,4,0.5267,positive,-0.0667,0.6,Value & Pricing,0.4944,20
1017,13,The Smokehouse BBQ,BBQ,silver,2023-01-08,4,0.0,neutral,0.1,0.1,Food Quality & Taste,0.328,10
1179,15,Federal Street Fare,American,needs_improvement,2023-01-08,4,0.6808,positive,0.1667,0.3333,Delivery & Timeliness,0.5124,14
440,6,Taqueria Del Sol,Mexican,gold,2023-01-10,4,0.3182,positive,0.3,0.5,Delivery & Timeliness,0.6444,10
808,10,New England Deli,American,needs_improvement,2023-01-10,4,0.4215,positive,0.3952,0.8119,Packaging & Presentation,0.604,13
1165,15,Federal Street Fare,American,needs_improvement,2023-01-11,4,0.743,positive,0.4,0.6875,Food Quality & Taste,0.4891,12
575,7,The Grain Bowl,American,silver,2023-01-13,5,0.3804,positive,0.1333,0.2,Food Quality & Taste,0.3618,18
314,4,Bella Cucina Events,Italian,platinum,2023-01-13,5,0.7579,positive,0.2667,0.5583,Food Quality & Taste,0.9617,25
138,2,Spice Route Catering,Indian,gold,2023-01-13,4,0.0,neutral,0.2929,0.7179,Packaging & Presentation,0.5791,13
1139,14,Garden State Greens,Vegetarian,silver,2023-01-14,4,0.7089,positive,0.25,1.0,Value & Pricing,0.9423,14
796,10,New England Deli,American,needs_improvement,2023-01-14,4,0.7845,positive,0.55,0.3417,Packaging & Presentation,0.9426,15
386,5,Green Garden Catering,Vegetarian,gold,2023-01-14,5,0.3612,positive,0.1,0.2667,Food Quality & Taste,0.691,21
750,9,Seoul Kitchen Catering,Korean,gold,2023-01-15,5,0.8832,positive,0.345,0.405,Packaging & Presentation,0.503,21
264,4,Bella Cucina Events,Italian,platinum,2023-01-16,5,0.7906,positive,1.0,1.0,Delivery & Timeliness,0.4843,21
818,10,New England Deli,American,needs_improvement,2023-01-16,4,0.5106,positive,0.1,0.25,Customer Service,0.6834,14
1171,15,Federal Street Fare,American,needs_improvement,2023-01-16,4,0.765,positive,0.5,0.9,Value & Pricing,0.5666,12
142,2,Spice Route Catering,Indian,gold,2023-01-18,4,0.7579,positive,0.2667,0.5583,Food Quality & Taste,0.9555,18
103,2,Spice Route Catering,Indian,gold,2023-01-19,5,0.9008,positive,0.5964,0.7964,Value & Pricing,0.5408,17
799,10,New England Deli,American,needs_improvement,2023-01-20,4,0.5106,positive,0.0,0.0,Packaging & Presentation,0.9328,13
839,11,Saffron House,Middle Eastern,gold,2023-01-21,5,0.872,positive,0.75,0.5875,Delivery & Timeliness,0.5207,20
822,10,New England Deli,American,needs_improvement,2023-01-22,4,0.3612,positive,0.15,0.4,Food Quality & Taste,0.5197,17
414,5,Green Garden Catering,Vegetarian,gold,2023-01-22,5,0.7964,positive,0.75,0.4,Customer Service,0.9526,28
745,9,Seoul Kitchen Catering,Korean,gold,2023-01-22,5,0.7935,positive,0.3241,0.6701,Food Quality & Taste,0.5318,20
557,7,The Grain Bowl,American,silver,2023-01-22,4,0.7579,positive,0.2667,0.5583,Food Quality & Taste,0.9555,18
632,8,Mediterranean Table,Mediterranean,platinum,2023-01-23,5,0.8126,positive,0.5333,0.3,Value & Pricing,0.4914,21
303,4,Bella Cucina Events,Italian,platinum,2023-01-23,4,0.7713,positive,0.55,0.6917,Packaging & Presentation,0.949,12
578,7,The Grain Bowl,American,silver,2023-01-23,4,0.8271,positive,0.75,0.9375,Delivery & Timeliness,0.5935,16
832,11,Saffron House,Middle Eastern,gold,2023-01-26,4,0.8399,positive,0.75,0.9375,Food Quality & Taste,0.9104,12
148,2,Spice Route Catering,Indian,gold,2023-01-26,4,0.6115,positive,1.0,1.0,Packaging & Presentation,0.9418,11
598,8,Mediterranean Table,Mediterranean,platinum,2023-01-27,4,0.7184,positive,0.1,0.3833,Packaging & Presentation,0.9599,12
286,4,Bella Cucina Events,Italian,platinum,2023-01-27,5,0.3818,positive,0.4167,0.7083,Food Quality & Taste,0.9375,21
326,4,Bella Cucina Events,Italian,platinum,2023-01-28,5,0.6478,positive,0.15,0.5,Packaging & Presentation,0.5825,20
75,1,Boston Box Lunch Co.,American,platinum,2023-01-29,5,0.6697,positive,0.3464,0.6089,Customer Service,0.4193,27
